HASH(0x1d198a8)	HASH(0x1d198b4)	HASH(0x1d198f0)	HASH(0x1d1992c)	HASH(0x1d19968)
'Type de détection'	'Detection type'	'Aufspüren via'	HASH(0x20057ac)	'Tipo di rilevamento'
'Type de Fresnel'	'Type of phasors'	HASH(0x2005980)	HASH(0x1ec9264)	HASH(0x1ec92c4)
'Type de produit'	'Equipment type'	'Einheit Typ'	HASH(0x1ec9450)	'Tipo di prodotto'
'Type de synchronisation'	'Synchronisation type'	'Synchronisationstyp'	HASH(0x1ec9684)	'Sincronizzazione tipo'
'U12='	'U12='	'U12='	HASH(0x1ec98b8)	'U12='
'U23='	'U23='	'U23='	HASH(0x1ec9aec)	'U23='
'U31='	'U31='	'U31='	HASH(0x1ec9d20)	'U31='
'Unité'	'Unit'	'Einheit'	HASH(0x1ec9f54)	'Unità'
'Unité dans la courbe de charge sur 8 caractères maximum'	'loadcurve unit on 8 characteres maximum'	'Lastkurve Einheit (max. 8 Zeichen lang)'	HASH(0x1eca188)	'Massimo 8 caratteri per ogni curva di carico'
'unité de la grandeur sur 4 caractères maximum'	'Parameter unit on 4 characters maximum'	'Grösseneinheit (max. 4 Zeichen lang)'	HASH(0x1eca3bc)	'Massimo 4 caratteri per ogni parametro'
'V1'	'V1'	'V1'	HASH(0x1eca5f0)	'V1'
'V2'	'V2'	'V2'	HASH(0x1eca824)	'V2'
'V3'	'V3'	'V3'	HASH(0x1ecaa58)	'V3'
'Valeur'	'Value'	'Werte'	HASH(0x1ecac8c)	'Valore'
'Valeur (mA)'	'Value (mA)'	'Werte (mA)'	HASH(0x1ecaec0)	'Valore (mA)'
'Valeurs instantanées'	'Instant values'	'Aktuelle Werte'	HASH(0x1ecb0f4)	'Valore istantaneo'
'Vide'	'Empty'	'Leer'	HASH(0x2013eb0)	'Vuoto'
'Visualisation des évènements'	'Events view'	HASH(0x2014084)	HASH(0x20140e4)	HASH(0x2014144)
'Vitesse'	'Speed'	'Geschwindigkeit'	HASH(0x20142d0)	'Velocità'
'Vitesse JBus'	'JBus speed'	'JBus Geschwindigkeit'	HASH(0x2014504)	'Velocità JBus'
'Vitesse RS485'	'RS485 speed'	'RS485 Geschwindigkeit'	HASH(0x2014738)	'Velocità RS485'
'Voie 1'	'Channel 1'	'Kanal 1'	HASH(0x201496c)	'Canale 1'
'Voie 2'	'Channel 2'	'Kanal 2'	HASH(0x2014ba0)	'Canale 2'
'Votre clef personnelle'	'Your personal Key'	'Ihr persönlicher Schlüssel'	HASH(0x2018890)	'Chiave personale'
'Word (16 bits)'	'Word (16 bits)'	'Word (16 bits)'	HASH(0x2018ac4)	'Word (16 bits)'
'Zoom -'	'Zoom -'	'Zoom -'	HASH(0x2018cf8)	'Zoom -'
'Zoom +'	'Zoom +'	'Zoom +'	HASH(0x2018f2c)	'Zoom +'
'Zoom 1'	'Zoom 1'	'Zoom 1'	HASH(0x2019160)	'Zoom 1'
'Zoom1'	'Zoom1'	'Zoom1'	HASH(0x2019394)	'Zoom1'
'ZoomM'	'ZoomM'	'ZoomM'	HASH(0x20195c8)	'ZoomM'
'ZoomP'	'ZoomP'	'ZoomP'	HASH(0x20197fc)	'ZoomP'
